的 de5  ⿰白勺 0
较 jiao4 斠教滘醮峤藠漖窖酵皭 ⿰车交 212
网 wang3 罔往魍辋惘枉 ⿵冂⿰㐅㐅 213
先 xian1 𬸣暹纤孅鲜氙仙酰跹莶 ⿱𠂒儿 214
句 ju4 钜倨飓犋惧具讵锯苣距 ⿹勹口 215
希 xi1 舾肸睎西熄釐嘻烯熹樨 ⿱㐅布 216
望 wang4 妄旺忘 ⿱⿰亡月王 217
内 nei4  ⿻冂人 218
件 jian4 见贱毽键荐建牮践楗腱 ⿰亻牛 219
感 gan3 敢橄擀鳡秆澉赶 ⿱咸心 220
记 ji4 蓟𪟝芰鲫惎剂穄悸冀荠 ⿰讠己 221
者 zhe3 褶锗赭啫 ⿱耂日 222
女 nü3 钕 ⿻𡿨丆 223
无 wu2 鼯鹀唔毋浯芜梧峿铻郚 ⿱一尢 224
五 wu3 仵怃𣲘鹉旿迕午妩伍侮 ⿱一𫝀 225
号 hao4 耗鄗昊颢皞浩灏皓淏 ⿱口丂 226
实 shi2 识炻十拾莳石鲥湜埘时 ⿱宀头 227
心 xin1 昕炘𫷷辛欣薪锌䜣新馨 ⿲丿⿺乚丶丶 228
连 lian2 联涟奁鲢裢镰怜廉梿帘 ⿺辶车 229
则 ze2 赜迮泽啧箦责择舴帻笮 ⿰贝刂 230
声 sheng1 陞牲升昇生笙甥 ⿱士𠃜 231
头 tou2 骰投 ⿻⺀大 232
正 zheng4 挣诤政怔郑证症 ⿱一止 233
住 zhu4 翥柱助蛀注筑砫箸纻驻 ⿰亻主 234
每 mei3 美媄渼浼镁 ⿱𠂉母 235
此 ci3 𫚖玼泚 ⿰止匕 236
水 shui3  ⿰𰛄⿺㇏丿 237
路 lu4 戮渌𫘧潞辘露甪麓陆菉 ⿰𧾷各 238
同 tong2 瞳潼烔峂童穜僮酮铜茼 ⿵冂𠮛 239
回 hui2 蛔茴烠洄 ⿴囗口 240
讲 jiang3 耩桨膙蒋奖 ⿰讠井 241
教 jiao4 酵峤噍漖藠皭徼滘较轿 ⿰孝攵 242
育 yu4 遇欲芋钰聿彧愈饫燏阈 ⿳亠厶⺝ 243
死 si3  ⿸歹匕 244
阿 a1 啊吖锕 ⿰阝可 245
字 zi4 恣眦渍自 ⿱宀子 246
文 wen2 炆阌玟闻蚊𫘜纹雯芠 ⿱亠乂 247
化 hua4 划桦觟画婳话 ⿰亻𠤎 248
特 te4 忑铽慝 ⿰牛寺 249
别 bie2 蹩癿 ⿰另刂 250
放 fang4  ⿰方攵 251
块 kuai4 哙筷脍鲙快狯郐侩 ⿰土夬 252
快 kuai4 块鲙狯哙郐侩脍筷 ⿰忄夬 253
求 qiu2 泅赇球俅蝤𨱇虬巯犰裘 ⿺⿻一氺丶 254
花 hua1 哗砉 ⿱艹化 255
拉 la1 垃邋啦 ⿰扌立 256
门 men2 𫞩钔扪 ⿲丨丶𠃌 257
妈 ma1  ⿰女马 258
全 quan2 鳈颧痊醛拳泉辁权蜷佺 ⿱人王 259
许 xu3 糈珝醑诩栩冔 ⿰讠午 260
楼 lou2 髅蒌𪣻剅溇蝼喽耧偻𦝼 ⿰木娄 261
重 zhong4 仲茽众 ⿱千里 262
通 tong1 嗵 ⿺辶甬 263
市 shi4 弑氏示螫栻适誓事谥饰 ⿱丶帀 264
场 chang3 氅厂敞𬬮昶惝 ⿰土𠃓 265
晚 wan3 宛惋琬皖绾碗畹椀挽婉 ⿰日免 266
英 ying1 嘤膺䓨锳璎撄媖瑛婴罂 ⿱艹央 267
语 yu3 俣雨与㺄庾羽圄伛鄅圉 ⿰讠吾 268
切 qie4 挈妾窃郄锲箧惬怯 ⿰七刀 269
主 zhu3 渚𬣞瞩麈煮嘱拄 ⿱丶王 270
济 ji4 𬶨瀱徛稷惎暨罽技计际 ⿰氵齐 271
研 yan2 岩虤蜒言闫延妍筵严沿 ⿰石开 272
究 jiu1 鬏啾纠阄鸠赳揪 ⿱穴九 273
关 guan1 观棺冠倌蒄鳏纶官 ⿱丷天 274
系 xi4 咥郤阋屃戏隙舄禊潟绤 ⿱丿糸 275
十 shi2 食湜莳石拾炻时祏鼫识 ⿻一丨 276
斯 si1 私蛳思司锶鸶飔虒厮撕 ⿰其斤 277
外 wai4  ⿰夕卜 278
何 he2 𬌗合涸禾阖鞨颌曷饸阂 ⿰亻可 279
段 duan4 塅煅簖锻瑖椴断缎 ⿰⿰丨亖殳 280
般 ban1 癍瘢𨭉攽班斑颁搬扳 ⿰舟殳 281
评 ping2 苹荓玶瓶泙帡洴萍平鲆 ⿰讠平 282
论 lun4  ⿰讠仑 283
任 ren4 妊葚饪讱纴认韧衽仞纫 ⿰亻壬 284
企 qi3 婍起乞启玘屺芑棨绮岂 ⿱𠆢止 285
业 ye4 夜馌液叶腋谒烨曳靥晔 ⿶䒑⿰丨丨 286
面 mian4 眄 ⿱丆囬 287
