寢 寝
鹼 碱
曠 旷
韌 韧
痺 痹
鶴 鹤
嚕 噜
攏 拢
誹 诽
羈 羁
蕭 萧
棲 栖
痙 痉
攣 挛
瘡 疮
摟 搂
瀏 浏
鐺 铛
熒 荧
誡 诫
醃 腌
誦 诵
簫 箫
緋 绯
詮 诠
矯 矫
囂 嚣
爍 烁
槳 桨
渦 涡
鮭 鲑
駭 骇
鉉 铉
篩 筛
畝 亩
攬 揽
蘆 芦
攢 攒
瀉 泻
廄 厩
禪 禅
聳 耸
綻 绽
籬 篱
楓 枫
燼 烬
鑲 镶
謁 谒
藹 蔼
閹 阉
盞 盏
嘩 哗
膿 脓
鸚 鹦
儂 侬
鵡 鹉
蠍 蝎
襠 裆
閨 闺
誣 诬
緯 纬
馮 冯
趙 赵
馭 驭
僥 侥
巔 巅
詠 咏
澀 涩
鐸 铎
淒 凄
鋁 铝
殽 肴
皰 疱
癟 瘪
贍 赡
闌 阑
鈉 钠
飼 饲
矚 瞩
姍 姗
諭 谕
樞 枢
繭 茧
鈣 钙
斂 敛
綱 纲
雛 雏
濤 涛
鷗 鸥
顎 颚
箏 筝
嶺 岭
嘖 啧
螢 萤
訃 讣
梟 枭
瀨 濑
璽 玺
嶼 屿
贅 赘
緹 缇
贗 赝
騾 骡
闡 阐
諺 谚
獺 獭
齷 龌
齪 龊
餿 馊
錐 锥
駒 驹
屢 屡
蔭 荫
瀟 潇
詆 诋
諱 讳
餃 饺
蠣 蛎
諦 谛
燴 烩
鑣 镳
縈 萦
洶 汹
參 叁
鈈 钚
曖 暧
綴 缀
瘍 疡
鼴 鼹
愜 惬
蝸 蜗
紡 纺
劊 刽
璣 玑
捫 扪
輾 辗
飈 飚
齋 斋
絹 绢
摳 抠
鈦 钛
輟 辍
稜 棱
嘯 啸
緘 缄
貯 贮
躪 躏
縷 缕
輿 舆
懾 慑
紉 纫
醞 酝
蠶 蚕
鉀 钾
鶉 鹑
賃 赁
頹 颓
鐮 镰
魘 魇
鵪 鹌
輦 辇
攆 撵
鑼 锣
殲 歼
擄 掳
瘧 疟
竇 窦
慫 怂
蘊 蕴
締 缔
荊 荆
託 讬
緞 缎
鰭 鳍
駿 骏
晝 昼
鶯 莺
瀝 沥
瀾 澜
鱗 鳞
鰻 鳗
攙 搀
孿 孪
鱒 鳟
狽 狈
覬 觊
窯 窑
譏 讥
錮 锢
軋 轧
覦 觎
稟 禀
鍬 锹
蕪 芜
蠱 蛊
幀 帧
餒 馁
葦 苇
鎂 镁
氈 毡
滌 涤
鐧 锏
簍 篓
嫻 娴
棧 栈
礫 砾
轆 辘
檻 槛
睞 睐
顳 颞
顴 颧
閡 阂
誨 诲
鈾 铀
朧 胧
脛 胫
熾 炽
綬 绶
鯉 鲤
韃 鞑
鴕 鸵
鴻 鸿
跥 跺
疇 畴
鬢 鬓
萵 莴
鴛 鸳
蛻 蜕
鴦 鸯
缽 钵
頤 颐
澱 淀
鎳 镍
軼 轶
鰥 鳏
壟 垄
篤 笃
羥 羟
嬤 嬷
噝 咝
鍍 镀
麩 麸
筍 笋
繚 缭
鷲 鹫
憚 惮
甕 瓮
鋅 锌
橢 椭
韁 缰
儉 俭
噥 哝
頜 颌
絢 绚
繕 缮
嶇 岖
籟 籁
蟬 蝉
詫 诧
鑷 镊
鱈 鳕
閂 闩
瞼 睑
蟄 蛰
儐 傧
髖 髋
銨 铵
軒 轩
滄 沧
窪 洼
鐐 镣
薔 蔷
癩 癞
訌 讧
饞 馋
濁 浊
鋌 铤
嚙 啮
鯰 鲶
罌 罂
躥 蹿
靦 腼
鹵 卤
鐳 镭
掄 抡
諛 谀
訶 诃
篹 纂
獁 犸
摑 掴
賒 赊
撾 挝
吚 咿
薊 蓟
餾 馏
鱸 鲈
塹 堑
箋 笺
鎬 镐
鋤 锄
鵲 鹊
齦 龈
蒞 莅
鉑 铂
鯡 鲱
閻 阎
籮 箩
鉈 铊
犢 犊
餞 饯
玀 猡
騁 骋
躋 跻
蒔 莳
鋰 锂
礆 硷
紕 纰
訥 讷
躊 踌
遼 辽
鎧 铠
諳 谙
饅 馒
廬 庐
葷 荤
鳩 鸠
鱘 鲟
鷺 鹭
詼 诙
鉻 铬
癬 癣
燜 焖
銼 锉
綾 绫
瀧 泷
鈹 铍
鈞 钧
蕎 荞
濘 泞
撣 掸
紈 纨
蘚 藓
棗 枣
蹣 蹒
祿 禄
莢 荚
獷 犷
躡 蹑
噯 嗳
漣 涟
浹 浃
瓏 珑
剮 剐
凜 凛
飩 饨
訛 讹
匱 匮
綺 绮
餛 馄
弒 弑
鱉 鳖
詣 诣
絝 绔
鵑 鹃
鵜 鹈
縟 缛
謨 谟
謐 谧
謅 诌
嫵 妩
巒 峦
獼 猕
瑯 琅
緔 绱
蟎 螨
颼 飕
錠 锭
獰 狞
鶘 鹕
躉 趸
簣 篑
鍔 锷
縹 缥
蹌 跄
鯖 鲭
堊 垩
鋃 锒
謾 谩
騖 骛
鋯 锆
鋥 锃
詡 诩
皚 皑
樺 桦
繽 缤
緲 缈
鉸 铰
鸛 鹳
猙 狰
鴇 鸨
鄒 邹
氬 氩
詰 诘
儈 侩
墾 垦
驛 驿
蝟 猬
蔣 蒋
謔 谑
梔 栀
饃 馍
鍶 锶
諂 谄
鐙 镫
鈷 钴
靨 靥
鈸 钹
僑 侨
瑩 莹
渙 涣
鵬 鹏
癤 疖
嚶 嘤
絛 绦
嘸 呒
齙 龅
蠑 蝾
褸 褛
蓽 荜
撻 挞
誅 诛
氂 牦
懨 恹
諄 谆
襤 褴
覷 觑
縝 缜
橈 桡
鳶 鸢
殞 殒
櫸 榉
鋇 钡
擯 摈
蠔 蚝
曇 昙
輒 辄
鏗 铿
慟 恸
孌 娈
鯔 鲻
烴 烃
鉚 铆
謳 讴
餉 饷
蕁 荨
齶 腭
絀 绌
釷 钍
馱 驮
鈽 钸
囈 呓
粵 粤
鉿 铪
曄 晔
覲 觐
縐 绉
鮪 鲔
軲 轱
悵 怅
諉 诿
龕 龛
諢 诨
斕 斓
餘 馀
薈 荟
鏘 锵
驍 骁
謄 誊
賅 赅
誆 诓
鰓 鳃
癆 痨
纓 缨
礪 砺
駟 驷
稈 秆
磣 碜
頡 颉
擷 撷
鍥 锲
綸 纶
鷸 鹬
躂 跶
鰹 鲣
綹 绺
鰍 鳅
鯛 鲷
惻 恻
嵐 岚
儼 俨
鎘 镉
紓 纾
暉 晖
錚 铮
騏 骐
滬 沪
鮫 鲛
鶿 鹚
鸕 鸬
錳 锰
鍘 铡
邇 迩
瑤 瑶
銖 铢
甌 瓯
齜 龇
貽 贻
飴 饴
峴 岘
螻 蝼
鶇 鸫
饗 飨
鎵 镓
琺 珐
殮 殓
轅 辕
鈀 钯
鱺 鲡
讒 谗
鬮 阄
鶩 鹜
顰 颦
釙 钋
愴 怆
銻 锑
齲 龋
鏤 镂
懣 懑
鯷 鳀
殤 殇
礬 矾
軛 轭
紜 纭
牘 牍
愾 忾
颯 飒
鎩 铩
擻 擞
闔 阖
鸞 鸾
幗 帼
驥 骥
薺 荠
詔 诏
硯 砚
徠 徕
紂 纣
膾 脍
軾 轼
櫟 栎
纈 缬
聵 聩
瘮 瘆
僂 偻
襖 袄
堝 埚
涇 泾
鷂 鹞
闕 阙
圇 囵
鴣 鸪
鷓 鹧
嫗 妪
鰨 鳎
裊 袅
佇 伫
鱔 鳝
摜 掼
禎 祯
釺 钎
鎔 镕
眥 眦
鏨 錾
嬈 娆
鍺 锗
瀘 泸
銥 铱
諏 诹
臠 脔
鰩 鳐
諮 谘
髕 髌
鰲 鳌
鮎 鲇
鑊 镬
齟 龃
鑞 镴
煢 茕
饈 馐
駑 驽
餑 饽
鴯 鸸
殫 殚
儷 俪
瘻 瘘
絳 绛
蓀 荪
紺 绀
鄲 郸
澇 涝
鎢 钨
騂 骍
訖 讫
齬 龉
冪 幂
輥 辊
鉍 铋
綏 绥
鋦 锔
鰣 鲥
鱧 鳢
繾 缱
嚀 咛
驀 蓦
虯 虬
詬 诟
躑 踯
禰 祢
蟯 蛲
攛 撺
櫓 橹
頷 颔
螄 蛳
鶓 鹋
慍 愠
賡 赓
魨 鲀
戧 戗
鹺 鹾
慪 怄
紆 纡
驁 骜
擼 撸
靄 霭
鏜 镗
櫨 栌
鏞 镛
膕 腘
欞 棂
縊 缢
榲 榅
鄔 邬
鎇 镅
檜 桧
嚦 呖
倀 伥
輜 辎
巰 巯
褳 裢
釓 钆
錛 锛
頊 顼
綣 绻
鴴 鸻
鍁 锨
戇 戆
崢 峥
鎄 锿
頦 颏
磧 碛
鑠 铄
銦 铟
飭 饬
篳 筚
藪 薮
踴 踊
鴆 鸩
誑 诳
樅 枞
銠 铑
轡 辔
碸 砜
鏰 镚
繯 缳
銃 铳
嶸 嵘
鯪 鲮
諡 谥
諍 诤
搵 揾
鬩 阋
蟈 蝈
鯁 鲠
彞 彝
韜 韬
鯕 鲯
鯽 鲫
錙 锱
濰 潍
鋨 锇
鏷 镤
轤 轳
齏 齑
鍰 锾
韙 韪
鐠 镨
陝 陕
歿 殁
鷥 鸶
釩 钒
撟 挢
騮 骝
鳧 凫
鮃 鲆
驪 骊
鰉 鳇
囀 啭
鱠 鲙
閾 阈
漚 沤
釗 钊
闈 闱
鈺 钰
塋 茔
讖 谶
嶗 崂
鎿 镎
銑 铣
鑥 镥
綈 绨
騅 骓
嗩 唢
躕 蹰
鰈 鲽
幃 帏
鰺 鲹
饜 餍
錒 锕
駙 驸
縭 缡
鉭 钽
鍩 锘
訐 讦
獪 狯
錇 锫
棶 梾
鋏 铗
瑋 玮
澗 涧
礡 礴
龔 龚
鈰 铈
懟 怼
楨 桢
軫 轸
糝 糁
鸝 鹂
皸 皲
輞 辋
鐦 锎
鈑 钣
鐝 镢
銣 铷
釕 钌
紿 绐
傴 伛
嘵 哓
槨 椁
癭 瘿
鍆 钔
銪 铕
檣 樯
銫 铯
騸 骟
鯤 鲲
鏃 镞
頎 颀
奩 奁
繒 缯
猻 狲
隴 陇
嘜 唛
壚 垆
鍀 锝
賑 赈
銩 铥
黷 黩
譫 谵
誥 诰
嬪 嫔
鉕 钷
櫱 蘖
氳 氲
鐫 镌
釹 钕
錸 铼
鑭 镧
櫪 枥
鯧 鲳
鐶 镮
儕 侪
謫 谪
鐨 镄
鈁 钫
蘢 茏
苧 苎
灤 滦
臏 膑
鵠 鹄
椏 桠
諫 谏
俁 俣
鉅 钜
襇 裥
