一
乙
麦 "⿱龶夂(GJ) or ⿱龶夊(T)"
玖 ⿰𤣩久
玛 ⿰𤣩马
形 ⿰开彡
进 ⿺辶井
戒 ⿹戈廾
吞 ⿱天口
远 ⿺辶元
违 ⿺辶韦
韧 ⿰韦刃
运 ⿺辶云
扶 ⿰扌夫
抚 ⿰扌无
坛 ⿰土云
技 ⿰扌支
坏 ⿰土不
抠 ⿰扌区
扰 ⿰扌尤
扼 ⿰扌厄
拒 ⿰扌巨
找 ⿰扌戈
批 ⿰扌比
址 ⿰土止
扯 ⿰扌止
走 ⿱土龰
抄 ⿰扌少
贡 ⿱工贝
汞 ⿱工水
坝 ⿰土贝
攻 ⿰工攵
赤 "⿱土⿻小丿(GTJKV) or ⿱土⿻小丨(H)"
折 ⿰扌斤
抓 ⿰扌爪
扳 ⿰扌反
抡 ⿰扌仑
扮 ⿰扌分
抢 ⿰扌仓
孝 ⿱耂子
坎 ⿰土欠
均 "⿰土匀 or ⿰土勻"
抑 ⿰扌卬
抛 ⿰扌𠠵
投 ⿰扌殳
坟 ⿰土文
坑 ⿰土亢
抗 ⿰扌亢
坊 ⿰土方
抖 ⿰扌斗
护 "⿰扌户(GH) or ⿰扌戶(T)"
壳 "⿱士冗 (GH) or ⿱⿳士冖一几 (TJK)"
志 ⿱士心
块 ⿰土夬
扭 ⿰扌丑
声 ⿱士𠃜
把 ⿰扌巴
报 ⿰扌𠬝
拟 ⿰扌以
却 ⿰去卩
抒 ⿰扌予
劫 ⿰去力
芙 ⿱艹夫
芜 ⿱艹无
苇 ⿱艹韦
芽 ⿱艹牙
花 ⿱艹化
芹 ⿱艹斤
芥 ⿱艹介
芬 ⿱艹分
苍 ⿱艹仓
芳 ⿱艹方
严 "⿳一⿶䒑⿰丨丨厂 or ⿱亚丿"
芦 "⿱艹户(G) or ⿱艹戶(TK) or ⿱艹戸(J)"
芯 ⿱艹心
劳 ⿱𫇦力
克 "⿱古儿 or ⿱十兄"
芭 ⿱艹巴
苏 ⿱艹办
杆 ⿰木干
杠 ⿰木工
杜 ⿰木土
材 ⿰木才
村 ⿰木寸
杖 ⿰木丈
杏 ⿱木口
杉 ⿰木彡
巫 ⿻工从
极 ⿰木及
李 ⿱木子
杨 ⿰木𠃓
求 ⿺⿻一氺丶
甫
匣 ⿷匚甲
更 ⿱一⿻日乂
束 ⿻木口
吾 ⿱五口
豆 ⿱𠮛䒑
两 "⿱一⿻冂从 or ⿻⿱一从冂 or ⿻从⿱一冂"
酉 ⿴西一
丽 "⿱一⿰⿵冂丶⿵冂丶(G) or ⿰⿱一⿵冂丶⿱一⿵冂丶(HT)"
医 ⿷匚矢
辰 "⿸厂⿱二⿰𠄌⿺乀丿(GJK) or ⿸厂⿸⿱二𠄌⿺乀丿(HTV)"
励 ⿰厉力
否 ⿱不口
还 ⿺辶不
尬 ⿺尢介
歼 ⿰歹千
来 "⿻未丷 or ⿻木䒑 or ⿻一米"
连 ⿺辶车
轩 ⿰车干
步 ⿱止𣥂
卤 "⿱⺊龱 or ⿴占㐅"
坚 ⿱𰀡土
肖 "⿱⺌月(GHJ) or ⿱⺌⺼(T) or ⿱小月(K)"
旱 ⿱日干
盯 ⿰目丁
呈 "⿱口王(GJV) or ⿱口𡈼(HT) or ⿱口壬(K)"
时 ⿰日寸
吴 ⿱口天
助 ⿰且力
县 ⿱且厶
里 ⿱田土
呆 ⿱口木
吱 ⿰口支
吠 ⿰口犬
呕 ⿰口区
园 ⿴囗元
旷 ⿰日广
围 ⿴囗韦
呀 ⿰口牙
吨 ⿰口屯
足 ⿱口龰
邮 ⿰由阝
男 ⿱田力
困 ⿴囗木
吵 ⿰口少
串 ⿻吕丨
员 ⿱口贝
呐 ⿰口内
听 ⿰口斤
吟 ⿰口今
吩 ⿰口分
呛 ⿰口仓
吻 ⿰口勿
吹 ⿰口欠
呜 ⿰口乌
吭 ⿰口亢
吧 ⿰口巴
邑 ⿱口巴
吼 ⿰口孔
囤 ⿴囗屯
别 ⿰另刂
吮 ⿰口允
岖 ⿰山区
岗 ⿱山冈
帐 ⿰巾长
财 ⿰贝才
针 ⿰钅十
钉 ⿰钅丁
牡 ⿰牛土
告 ⿱𠂒口
我 ⿻𠂌戈
乱 ⿰舌乚
利 ⿰禾刂
秃 ⿱禾几
秀 ⿱禾乃
私 ⿰禾厶
每 ⿱𠂉母
兵 ⿱丘八
估 ⿰亻古
体 ⿰亻本
何 ⿰亻可
佐 ⿰亻左
佑 ⿰亻右
但 ⿰亻旦
伸 ⿰亻申
佃 ⿰亻田
作 ⿰亻乍
伯 ⿰亻白
伶 ⿰亻令
佣 ⿰亻用
低 ⿰亻氐
你 "⿰亻尔 or ⿰亻尓"
住 ⿰亻主
位 ⿰亻立
伴 ⿰亻半
身
皂 ⿱白七
伺 ⿰亻司
佛 ⿰亻弗
囱 "⿱丿⿴囗⿻𠂊乀(GHV) or ⿱丿⿴囗夕(T) or ⿱丿⿴囗夊(JK)"
近 ⿺辶斤
