巛,  
奴 5 ⿰女又
召 5 ⿱刀口
加 5 ⿰力口
皮 5 ⿻⿱丨又⿰丿乛
边 5 ⿺辶力
孕 5 ⿱乃子
发 5 ⿺⿸⿻𠃋丿又丶
圣 5 ⿱又土
对 5 ⿰又寸
台 5 ⿱厶口
矛 5 ⿹予丿
纠 5 ⿰纟丩
母 5 ⿻⿻𠃋𠃌⿻一
幼 5 ⿰幺力
丝 5 ⿱⿰⿱𠃋𠃋⿱𠃋𠃋一
艽 5 ⿱艹九
艿 5 ⿱艹乃
札 5 ⿰木乚
叵 5 ⿷匚口
匝 5 ⿷匚巾
丕 5 ⿱不一
匜 5 ⿷匚也
劢 5 ⿰万力
卟 5 ⿰口卜
叱 5 ⿰口𠤎
叻 5 ⿰口力
仨 5 ⿰亻三
仕 5 ⿰亻士
仟 5 ⿰亻千
仡 5 ⿰亻乞
仫 5 ⿰亻么
仞 5 ⿰亻刃
卮 5 ⿸𠂋㔾
氐 5 ⿱氏丶
犰 5 ⿰犭九
刍 5 ⿱𫜹
汀 5 ⿰氵丁
讦 5 ⿰讠干
讧 5 ⿰讠工
讪 5 ⿰讠山
讫 5 ⿰讠乞
尻 5 ⿸尸九
尕 5 ⿱乃小
弁 5 ⿱厶廾
驭 5 ⿰马又
戋 5 ⿻戈一
圢 5 ⿰土丁
氕 5 ⿹气丿
伋 5 ⿰亻及
仝 5 ⿱人工
冮 5 ⿰冫工
氿 5 ⿰氵九
汈 5 ⿰氵刁
氾 5 ⿰氵㔾
忉 5 ⿰忄刀
宄 5 ⿱宀九
𬣙 5 ⿰讠于
讱 5 ⿰讠刃
罒 5 ⿴囗⿰丨丨
𠀐 5 
𠀎 5 
𫠣 5 
𠂔 5 
𰀉 5 
𫢉 5 
㐌 5 𠂉也
冋 5 冂口
𰀢 5 
冊 5 冂卄
𰃮 5 
𠬤 5 
𠕁 5 
㐱 5 𠆢彡
匃 5 勹亾
厈 5 厂干
𠬢 5 
匛 5 匚久
卌 5 卄
㕣 5 八口
囙 5 囗
𡗗 5 
夲 5 大十
𠁤 5 
圤 5 土卜
龱 5 囗乂
夰 5 大丿丨
龸 5 冖
㠯 5 丨
夗 5 夕㔾
戉 5 𠄌戈
𢀖 5 
𢆉 5 
朮 5 𣎳丶
氶 5 乛水
𤴔 5 
𤴓 5 
𦉰 5 
阞 5 阝力
钅 5 𠂉二𠄌
衤 5 𪜊丨𡿨
氺 5 亅丷八
𢎨 5 
疒 5 冫广
癶 5 丶丿丿
禸 5 冂厶
疋 5 乛龰
凹 6 ⿶凵⿰⿱一丨
印 6 ⿰𠀉卩
写 6 ⿱冖与
式 6 ⿹弋工
迂 6 ⿺辶于
刑 6 ⿰开刂
戎 6 ⿹戈𠂇
动 6 ⿰云力
扛 6 ⿰扌工
寺 6 ⿱土寸
吉 6 ⿱士口
扣 6 ⿰扌口
考 6 ⿱耂丂
托 6 ⿰扌乇
老 6 ⿱耂匕
巩 6 ⿰工凡
圾 6 ⿰土及
执 6 ⿰扌丸
扩 6 ⿰扌广
扫 6 ⿰扌𫜹
地 6 ⿰土也
场 6 ⿰土𠃓
扬 6 ⿰扌𠃓
耳 6 
芋 6 ⿱艹于
共 6 ⿱龷八
芒 6 ⿱艹亡
亚 6 ⿱一业
芝 6 ⿱艹之
朽 6 ⿰木丂
朴 6 ⿰木卜
机 6 ⿰木几
权 6 ⿰木又
过 6 ⿺辶寸
