kai1shi3 开始 "to begin; beginning; to start; initial" "联络 蹩脚 伤害 开始 容颜" 152
li2kai1 离开 "to depart; to leave" "亨利 豪宅 蒲扇 离开 救济" 153
da3kai1 打开 "to open; to show (a ticket); to turn on; to switch on" "虱子 老鹰 梦中 打开 警犬" 154
zhuan3rang4 转让 "to transfer (ownership, rights etc)" "低矮 瑟瑟 坠落 转让 愉悦" 155
rang4bu4 让步 "to concede; to give in; to yield; a concession; (linguistics) concessive" "事故 衙门 楠木 让步 多年" 156
rang4kai1 让开 "to get out of the way; to step aside" "剥离 影响 病人 让开 数学" 157
jiao1gei3 交给 "to give; to deliver; to hand over" "棱角 喷嚏 相距 交给 孔雀" 158
song4gei3 送给 "to send; to give as a present" "龙凤 获取 权利 送给 储蓄" 159
ji3yu3 给予 "to accord; to give; to show (respect)" "辨认 并不 塞满 给予 颁奖" 160
dan4shi4 但是 "but; however" "在线 尼斯 蚕豆 但是 八月" 161
bu4dan4 不但 "not only (... but also ...)" "吼声 岩石 栈道 不但 天井" 162
dan4yuan4 但愿 "if only (sth were possible); i wish (that)" "面临 大豆 蜻蜓 但愿 潜水" 163
xie4xie5 谢谢 "to thank; thanks; thank you" "高粱 笨拙 发布 谢谢 珍贵" 164
gan3xie4 感谢 "(express) thanks; gratitude; grateful; thankful; thanks" "巫婆 周围 川菜 感谢 愤慨" 165
duo1xie4 多谢 "many thanks; thanks a lot" "庐山 冶炼 哈利 多谢 傍晚" 166
jie1zhe5 接着 "to catch and hold on; to continue; to go on to do sth; to follow; to carry on; then; after that; subsequently; to proceed; to ensue; in turn; in one's turn" "访问 马克 汽水 接着 滚烫" 167
sui2zhe5 随着 "along with; in the wake of; following" "铜像 凝固 清晨 随着 投资" 168
gen1zhe5 跟着 "to follow after; immediately afterwards" "尾声 魁梧 半晌 跟着 蓬勃" 169
zhi3shi4 只是 "merely; only; just; nothing but; simply; but; however" "肌肉 伯父 山洞 只是 每次" 170
zhi3yao4 只要 "if only; so long as" "状况 涂鸦 称谓 只要 进步" 171
you3xie1 有些 "some; somewhat" "扉页 制度 诬陷 有些 右翼" 172
ru2guo3 如果 "if; in case; in the event that" "暑假 之间 厢房 如果 𬱟" 173
ru2he2 如何 "how; what way; what" "属于 挑剔 讶异 如何 打断" 174
ru2ci3 如此 "like this; so; such" "红肿 嘟噜 居然 如此 顶端" 175
