爱 ai4
明星 ming2xing1
那样 na4yang4
南方 nan2fang1
难过 nan2guo4
难看 nan2kan4
难受 nan2shou4
难听 nan2ting1
能够 neng2gou4
年级 nian2ji2
难题 nan2ti2
年轻 nian2qing1
鸟 niao3
弄 nong4
努力 nu3li4
爬山 pa2shan1
排 pai2
排队 pai2dui4
怕 pa4
排球 pai2qiu2
碰 peng4
爬 pa2
碰到 peng4dao4
碰见 peng4jian5
篇 pian1
片 pian4
便宜 bian4yi2
平安 pin2gan1
平 ping2
漂亮 piao4liang5
平时 ping2shi2
平常 ping2chang2
瓶子 ping2zi5
平等 ping2deng3
瓶 ping2
普通话 pu3tong1hua4
其中 qi2zhong1
普通 pu3tong1
其他 qi2ta1
骑车 qi2che1
起飞 qi3fei1
气 qi4
骑 qi2
千 qian1
气温 qi4wen1
千克 qian1ke4
前年 qian2nian2
墙 qiang2
青少年 qing1shao4nian2
轻 qing1
青年 qing1nian2
清楚 qing1chu5
晴天 qing2tian1
请客 qing3ke4
晴 qing2
请求 qing3qiu2
球场 qiu2chang3
求 qiu2
球队 qiu2dui4
取 qu3
球鞋 qiu2xie2
秋天 qiu1tian1
全 quan2
取得 qu3de2
全部 quan2bu4
全家 quan2jia1
全年 quan2nian2
全身 quan2shen1
全体 quan2ti3
全国 quan2guo2
热情 re4qing2
让 rang4
人们 ren2men5
人口 ren2kou3
人数 ren2shu4
然后 ran2hou4
认为 ren4wei2
日子 ri4zi5
日报 ri4bao4
入口 ru4kou3
如果 ru2guo3
商量 shang1liang5
商人 shang1ren2
上周 shang4zhou1
身边 shen1bian1
少年 shao4nian2
少数 shao3shu4
什么样 shen2me5yang4
生 sheng1
生词 sheng1ci2
声音 sheng1yin1
十分 shi2fen1
生活 sheng1huo2
实习 shi2xi2
实际 shi2ji4
省 sheng3
实现 shi2xian4
食物 shi2wu4
实在 shi2zai5
使用 shi3yong4
市长 shi4zhang3
市 shi4
事情 shi4qing5
收到 shou1dao4
收入 shou1ru4
手表 shou3biao3
受到 shou4dao4
舒服 shu1fu5
熟 shu2
收 shou1
数字 shu4zi4
水平 shui3ping2
顺利 shun4li4
说明 shuo1ming2
司机 si1ji1
送到 song4dao4
数 shu4
算 suan4
送给 song4gei3
随便 sui2bian4
随时 sui2shi2
所以 suo3yi3
虽然 sui1ran2
所有 suo3you3
它 ta1
它们 ta1men5
太太 tai4tai5
太阳 tai4yang2
讨论 tao3lun4
态度 tai4du5
套 tao4
特点 te4dian3
疼 teng2
提 ti2
特别 te4bie2
提出 ti2chu1
提到 ti2dao4
提高 ti2gao1
体育 ti3yu4
题 ti2
体育场 ti3yu4chang3
体育馆 ti3yu4guan3
天上 tian1shang5
条 tiao2
条件 tiao2jian4
听说 ting1shuo1
停车 ting2che1
听讲 ting1jiang3
停 ting2
挺 ting3
停车场 ting2che1chang3
通 tong1
挺好 ting3hao3
通知 tong1zhi1
同时 tong2shi2
同样 tong2yang4
同事 tong2shi4
通过 tong1guo4
头 tou2
头发 tou2fa5
图片 tu2pian4
腿 tui3
外地 wai4di4
完 wan2
完成 wan2cheng2
完全 wan2quan2
外卖 wai4mai4
推 tui1
晚报 wan3bao4
晚安 wa3nan1
晚餐 wan3can1
晚会 wan3hui4
碗 wan3
网 wang3
万 wan4
网球 wang3qiu2
网站 wang3zhan4
往 wang3
为什么 wei4shen2me5
为 wei4
位 wei4
味道 wei4dao5
喂 wei4
闻 wen2
问路 wen4lu4
午餐 wu3can1
问题 wen4ti2
午睡 wu3shui4
西北 xi1bei3
温度 wen1du4
西南 xi1nan2
西方 xi1fang1
西医 xi1yi1
西餐 xi1can1
习惯 xi2guan4
洗衣机 xi3yi1ji1
下 xia4
洗澡 xi3zao3
下周 xia4zhou1
相同 xiang1tong2
夏天 xia4tian1
相信 xiang1xin4
想到 xiang3dao4
想法 xiang3fa5
下雪 xia4xue3
想起 xiang3qi3
向 xiang4
相机 xiang4ji1
响 xiang3
像 xiang4
小声 xiao3sheng1
小时候 xiao3shi2hou5
小说 xiao3shuo1
小心 xiao3xin5
小 xiao3
小组 xiao3zu3
校园 xiao4yuan2
校长 xiao4zhang3
笑话儿 xiao4hua5
笑话 xiao4hua5
心里 xin1li5
心情 xin1qing2
鞋 xie2
心中 xin1zhong1
信 xin4
新闻 xin1wen2
信号 xin4hao4
信心 xin4xin1
信用卡 xin4yong4ka3
信息 xin4xi1
星星 xing1xing5
行动 xing2dong4
行人 xing2ren2
姓 xing4
行为 xing2wei2
姓名 xing4ming2
学期 xue2qi1
休假 xiu1jia4
许多 xu3duo1
选 xuan3
颜色 yan2se4
雪 xue3
眼睛 yan3jing5
眼 yan3
养 yang3
样子 yang4zi5
要求 yao1qiu2
药片 yao4pian4
药 yao4
也许 ye3xu3
药水 yao4shui3
夜 ye4
药店 yao4dian4
夜里 ye4li5
一定 yi1ding4
一部分 yi1bu4fen5
一会儿 yi1hui4
一路平安 yi1lu4pin2gan1
已经 yi3jing1
一路顺风 yi1lu4shun4feng1
以前 yi3qian2
一共 yi1gong4
以后 yi3hou4
以上 yi3shang4
以外 yi3wai4
椅子 yi3zi5
以下 yi3xia4
一点点 yi1dian3dian3
一般 yi1ban1
一生 yi1sheng1
一直 yi1zhi2
亿 yi4
以为 yi3wei2
因为 yin1wei5
意见 yi4jian5
意思 yi4si5
阴天 yin1tian1
音节 yin1jie2
音乐 yin1yue4
音乐会 yin1yue4hui4
银行卡 yin2hang2ka3
应该 ying1gai1
银行 yin2hang2
英文 ying1wen2
英语 ying1yu3
影片 ying3pian4
阴 yin1
影响 ying3xiang3
油 you2
永远 yong3yuan3
有空儿 you3kong4
友好 you3hao3
有点儿 you3dian3
游客 you2ke4
有人 you3ren2
有意思 you3yi4si5
