a1 啊阿锕吖
jiang1 僵江浆姜缰疆豇礓茳鳉
jiang3 讲奖桨蒋耩膙
jiang4 将降酱匠犟糨绛洚弶
jiao1 交骄胶焦椒郊跤蕉浇娇礁鲛姣蛟艽茭鹪峧䴔僬燋
jiao2 嚼矫
jiao3 角脚搅狡绞缴侥饺佼剿铰皎湫敫恔璬皦
jiao4 叫教较轿窖酵醮峤噍徼藠滘斠漖皭
jie1 接街揭阶皆疖嗟秸喈湝
jie2 结节杰劫洁截竭捷睫桔羯婕孑诘拮桀讦颉劼碣岊㛃絜蜐鲒
jie3 解姐檞
jie4 界介借戒届芥诫疥玠蚧悈骱褯
jin1 今金巾筋津斤襟矜衿𬬱珒钅
jin3 紧仅谨锦瑾堇馑槿卺廑
jin4 进近尽劲禁晋浸烬觐靳妗荩浕缙噤赆琎祲溍瑨墐殣
jing1 经精惊睛京晶鲸茎兢荆菁旌泾腈粳猄䴖麖鼱
jing3 警景井阱颈憬儆肼刭璟汫璥
jing4 静竟镜境敬净竞径靓痉胫靖婧迳倞竫獍
jiong1 扃坰𬳶
jiong3 窘炯迥颎冏泂䌹
jiu1 究纠揪鸠啾赳阄鬏
jiu3 酒久九灸玖韭氿𠂉
jiu4 就救旧疚舅咎厩臼鹫柩桕僦㠇
ju1 居拘狙鞠疽驹掬锔趄苴椐琚雎裾鞫岨泃砠崌娵腒𬶋
ju2 局橘菊焗䴗
ju3 举矩沮咀榉龃蒟莒踽弆筥
ju4 据剧具句聚拒巨俱惧距锯炬飓苣踞倨遽钜讵犋屦岠秬窭澽醵
juan1 捐娟鹃涓镌蠲焆
juan3 卷锩
juan4 倦眷绢隽狷鄄桊
jue1 撅噘
jue2 觉决绝爵掘抉诀倔崛厥蹶攫獗蕨矍镢孓玦珏桷谲橛爝𫘝砄觖傕劂㵐𫔎玃龴
jun1 军君菌均钧莙皲筠麇鲪
jun4 俊郡峻骏晙竣浚捃珺焌葰畯䐃
ka1 喀咔
ka3 卡胩
kai1 开揩锎
kai3 凯慨恺楷铠剀闿锴垲蒈
kai4 忾炌
kan1 堪刊勘龛戡嵁
kan3 砍坎侃莰凵
kan4 看瞰崁阚衎墈磡
kang1 康慷糠𡐓𩾌
kang4 抗亢炕伉闶钪
kao1 尻
kao3 考烤拷栲洘
kao4 靠铐犒㸆
ke1 科颗柯棵嗑磕苛瞌坷珂蝌髁稞颏窠轲牁疴匼
ke2 壳咳
ke3 可渴岢炣
ke4 克客刻课氪恪骒缂锞溘
kei1 剋
ken3 肯恳啃垦
ken4 裉
keng1 坑吭铿硁
kong1 空崆箜埪
kong3 恐孔倥
kong4 控硿
kou1 抠眍芤𫸩
kou3 口
kou4 扣寇蔻叩筘
ku1 哭枯窟骷刳矻圐
ku3 苦
ku4 酷库裤绔喾
kua1 夸姱
kua3 垮侉
kua4 跨胯挎
kuai3 㧟蒯
kuai4 快块筷侩脍鲙狯哙郐
kuan1 宽髋
kuan3 款
kuang1 筐匡哐诓洭
kuang2 狂诳𫛭
kuang3 夼
kuang4 况矿框旷眶邝圹贶纩
kui1 亏盔窥岿悝
kui2 奎葵魁睽蝰喹逵揆馗暌夔骙戣櫆
kui3 傀跬𫠆煃
kui4 溃愧馈匮篑聩喟愦蒉
kun1 昆坤婫醌鲲琨焜髡锟堃裈鹍
kun3 捆悃阃壸
kun4 困
kuo4 括扩阔廓蛞
la1 拉啦垃邋
la2 旯砬
la3 喇
la4 辣腊蜡剌镴瘌蝲𬶟
lai2 来莱徕梾铼崃涞俫
lai4 赖濑睐籁癞赉
lan2 兰蓝篮拦栏婪阑澜褴斓岚镧谰𬒗襕
lan3 榄懒览缆揽罱漤
lan4 烂滥
lang1 啷
lang2 郎狼廊螂榔琅锒稂桹筤
lang3 朗烺蓢塱㮾
lang4 浪莨阆蒗埌崀㫰
lao1 捞
lao2 劳牢唠痨崂醪𫭼铹
lao3 老佬姥铑栳荖
lao4 酪烙涝耢嫪
le4 乐勒仂叻泐鳓簕阞砳
lei2 雷擂镭羸嫘缧檑礌罍畾
lei3 累蕾垒儡磊耒诔藟癗
lei4 类泪肋酹
leng2 棱楞崚塄
leng3 冷
leng4 愣堎
li1 哩
li2 离黎璃狸梨厘篱喱漓蜊犁罹鲡藜骊黧缡鹂蓠嫠蠡醨㰀𤴔
li3 里理礼李俚鲤锂鳢浬娌逦澧醴豊
li4 力利丽立历莉例厉励隶粒栗雳蛎笠沥俐砾莅痢吏戾砺荔栎俪呖唳溧枥苈疠郦疬猁粝跞詈傈篥朸坜𫵷𬍛轹珕浰凓
lia3 俩
lian2 联连怜廉莲帘镰涟裢奁梿鲢濂蠊
lian3 脸敛琏裣蔹
lian4 练恋链炼楝殓潋瑓𬶠
liang2 良凉梁粮粱椋俍𫟅辌墚
liang3 两魉𬜯
liang4 亮量辆谅晾踉悢
liao1 撩蹽
liao2 聊疗僚潦寥缭辽獠燎寮嘹鹩漻嫽橑簝髎
liao3 了蓼钌憭
liao4 料撂瞭镣廖尥𪤗
lie3 咧
lie4 列烈猎裂劣鬣冽捩趔洌埒躐峛䴕脟𫚭劦
lin1 拎
lin2 林临琳邻淋磷鳞麟嶙遴粼霖啉璘辚箖潾𬴊瞵𬭸翷
lin3 凛廪檩懔
lin4 吝躏赁膦蔺
ling2 灵零龄铃凌聆玲伶陵羚澪菱绫囹泠翎棂鲮祾苓瓴蛉酃坽姈柃昤鸰舲㥄夌霝
ling3 领岭
ling4 另令呤
liu1 溜熘
liu2 留流瘤刘榴硫浏琉馏骝旒镏镠鎏飗鹠瑬疁
liu3 柳绺锍珋罶
liu4 六遛鹨翏
long2 龙隆笼咙聋胧窿泷珑茏栊砻眬癃昽漋
long3 拢垄陇𬕂
long4 哢
lou1 䁖
lou2 楼喽髅娄蝼偻蒌耧剅𪣻溇𦝼
lou3 搂篓嵝
lou4 漏陋镂瘘
lu1 噜撸
lu2 卢炉颅芦鲈庐鸬泸栌轳垆胪舻𬬻
lü2 驴榈闾
lu3 鲁虏掳卤橹镥澛
lü3 旅侣履铝屡缕吕褛捋膂梠稆
lu4 路录露绿陆鹿赂戮碌漉辘璐鹭禄麓潞辂渌逯箓甪菉𫘧琭稑僇勠蕗簏㐬坴
lü4 律虑滤氯垏葎
luan2 挛孪峦娈鸾脔滦栾銮
luan3 卵
luan4 乱
lüe4 略掠䂮锊圙
lun1 抡
lun2 伦轮仑沦囵𬬭
lun3 𫭢
lun4 论
luo1 啰
luo2 罗萝逻螺骡锣箩猡椤脶
luo3 裸瘰倮蓏蠃
luo4 落洛络骆摞珞泺荦雒漯
m2 呣呒
ma1 妈
ma2 吗麻蟆
ma3 马码玛蚂犸
ma4 骂杩祃
mai2 埋霾
mai3 买荬
mai4 卖麦迈脉唛劢鿏
man1 嫚颟
man2 瞒蛮鳗馒鞔鬘
man3 满螨
man4 慢曼漫蔓谩幔墁缦镘𬜬
mang1 牤
mang2 忙盲氓芒茫邙硭杧尨厖牻
mang3 莽蟒漭
mao1 猫
mao2 毛矛髦茅锚牦蟊茆旄蝥
mao3 卯铆昴峁泖
mao4 冒帽貌贸茂袤芼眊耄瑁瞀懋鄚楙冃
mei2 没梅媒霉枚眉玫莓煤酶糜楣湄镅郿嵋鹛瑂
mei3 美每镁渼浼媄
mei4 妹魅昧媚寐袂
men2 门扪钔𫞩
men4 闷焖懑呇
meng2 蒙盟檬萌朦虻甍瞢艨𫑡㠓幪鹲礞
meng3 猛懵蜢锰獴蠓勐艋
meng4 梦孟
mi1 咪眯
mi2 迷弥谜麋猕醚祢縻蘼醾
mi3 米靡弭脒芈洣敉
mi4 密秘蜜觅泌谧汨幂祕糸宓嘧蓂冖
mian2 眠棉绵宀
mian3 免勉缅冕娩腼湎愐丏沔渑勔偭𩾃
mian4 面眄
miao1 喵
miao2 描瞄苗鹋
miao3 秒渺藐杪缈眇邈淼
miao4 妙庙缪
mie1 咩乜
mie4 灭蔑篾
min2 民珉旻岷缗苠忞
min3 敏悯皿闵泯抿闽黾湣愍鳘敃
ming2 明名鸣冥铭瞑茗暝溟螟洺
ming3 酩
ming4 命
miu4 谬
mo1 摸
mo2 模魔摩磨膜蘑嬷谟摹馍嫫麽藦
mo3 抹
mo4 莫末默墨陌漠寞沫茉貘蓦殁秣貊靺瘼耱镆𬙊
mou1 哞
mou2 谋眸牟侔鍪蛑
mou3 某
mu2 毪
mu3 母姆拇亩牡𬭁𧿹
mu4 目木幕牧墓穆慕募沐睦暮苜仫钼
na2 拿镎
na3 哪乸
na4 那纳娜呐钠捺衲肭𦰡乀乁
nai3 奶乃氖迺艿
nai4 耐奈萘柰鼐佴
nan1 囡
nan2 难男南楠喃萳
nan3 蝻赧腩
nan4 婻
nang1 囔
nang2 囊馕
nang3 曩攮
nang4 齉
nao1 孬
nao2 挠蛲呶硇铙猱峱
nao3 脑恼瑙垴
nao4 闹淖臑
ne4 讷疒
nei3 馁
nei4 内
nen4 嫩恁
neng2 能
ng2 嗯
ni1 妮
ni2 呢尼泥霓倪怩坭铌鲵伲猊𫐐𫠜麑
ni3 你拟旎薿
ni4 匿逆溺腻昵睨𨺙
nian1 拈蔫
nian2 年黏鲇
nian3 碾撵捻辇
nian4 念廿埝卄
