e2mao2 鹅毛
che4tui4 撤退
che4li2 撤离
che4xiao1 撤销
che4chu1 撤出
zhen3suo3 诊所
men2zhen3 门诊
que4zhen3 确诊
fen1bian4 分辨
bian4ren4 辨认
bian4bie2 辨别
qian2li4 潜力
qian2zai4 潜在
qian2shui3 潜水
qian2neng2 潜能
he2xian2 和弦
xian2yue4 弦乐
xin1xian2 心弦
geng3ye4 哽咽
yan4xia4 咽下
wu1ye4 呜咽
yan1hou2 咽喉
ban1chan2 班禅
can1chan2 参禅
feng1ye4 枫叶
feng1shu4 枫树
fei1chi2 飞驰
chi2cheng3 驰骋
chi2ming2 驰名
ni4 匿
ni4ming2 匿名
cang2ni4 藏匿
yin3ni4 隐匿
xi1ri4 昔日
wang3xi1 往昔
xi1nian2 昔年
jiu1zhu4 揪住
jiu1xin1 揪心
dou1shou4 兜售
ku4dou1 裤兜
dou1feng1 兜风
yi1dou1 衣兜
he4ka3 贺卡
qing4he4 庆贺
he4sui4 贺岁
hai3gui1 海龟
gui1tou2 龟头
shou4ming4 寿命
chang2shou4 长寿
zhu4shou4 祝寿
da4shou4 大寿
wan2zi5 丸子
gao1wan2 睾丸
yao4wan2 药丸
yu2wan2 鱼丸
cai3hong2 彩虹
chang2hong2 长虹
hong2qiao2 虹桥
ni2hong2 霓虹
hu2li5 狐狸
ling2hu2 令狐
hu2yi2 狐疑
tian3 舔
ying1jun4 英俊
jun4jie2 俊杰
jun4xiu4 俊秀
jun4mei3 俊美
pu2 葡
pu2tao5 葡萄
ji2du4 嫉妒
du4ji2 妒嫉
ji2hen4 嫉恨
ji4du5 忌妒
chuai1 揣
chuai3mo2 揣摩
chuai3ce4 揣测
bi3yu4 比喻
yin3yu4 隐喻
yan2yu4 言喻
gui3dao4 轨道
gui3ji4 轨迹
jie1gui3 接轨
tie3gui3 铁轨
qi1hei1 漆黑
you2qi1 油漆
pen1qi1 喷漆
xin1ying3 新颖
