"to revive; perilla frutescens (chinese basil or wild red basil); place name; to revive; used as phonetic in transliteration" 苏
"to recover (health, economic); to resuscitate; anabiosis; to recover (health, economic); to resuscitate; anabiosis" 复苏
"to come to; to awaken; to regain consciousness" 苏醒
"susan (name)" 苏珊
"hair; drawing brush; (in the) least; one thousandth; currency unit, 0.1 yuan" 毫
"not in the least; to completely lack" 毫无
millimeter 毫米
milliliter 毫升
"optimum; optimal; peak; best (athlete, movie etc)" 最佳
"beautiful woman" 佳人
"fine food; delicacies; delicious food" 佳肴
"masterpiece; fine piece of writing" 佳作
"wide; broad; loose; relaxed; lenient" 宽
"lenient; tolerant; indulgent; charitable; to forgive" 宽容
"spacious; wide" 宽敞
broadband 宽带
"expansive; wide; width; thickness" 宽阔
"number; numerals; figures; digital; amount; numerical code" 数码
"at the minimum; at the very least" 起码
"to lose; to put aside; to throw" 丢
"to lose; to misplace" 丢失
"to abandon" 丢下
"to lose; to throw away; to discard; to cast away" 丢掉
"to lose face" 丢人
"to bear; to endure; to tolerate; to restrain oneself" 忍
"to bear; to endure" 忍受
"cruel; mean; merciless; ruthless" 残忍
"cannot bear to" 不忍
"flower; earlobe; fig. item on both sides; classifier for flowers, clouds etc" 朵
"ear; handle (on a cup)" 耳朵
flower 花朵
"a cloud" 云朵
"bubble; foam; blister; to soak; to steep; to infuse; to dawdle; to loiter; to pick up (a girl); to get off with (a sexual partner); classifier for occurrences of an action; classifier for number of infusions" 泡
"foam; (soap) bubble; (economic) bubble" 泡沫
bubbles 泡泡
"light bulb; third-wheel or unwanted third party spoiling a couple's date (slang)" 灯泡
"to steep; to soak; to immerse" 浸泡
"freyr (god in norse mythology)" 弗雷
"to offend sb; to make a faux pas; a faux pas" 得罪
"noisy; cacophonous; to make noise; to disturb; to vent (feelings); to fall ill; to have an attack (of sickness); to go in (for some activity); to joke" 闹
"to make a noise; noisy" 喧闹
"noisy; raucous; to shout and scream" 吵闹
wall 墙壁
"city wall" 城墙
"perimeter wall; fence" 围墙
"corner (junction of two walls)" 墙角
"deficiency; lack; scarce; vacant post; to run short of" 缺
"to lack; to be short of" 缺乏
"lack; shortage of; shortfall; to be short (of); to lack" 缺少
"weak point; fault; shortcoming; disadvantage" 缺点
"defect; flaw" 缺陷
"short of; tired" 乏
"there is no lack of" 不乏
tedious 乏味
"to be deficient in sth; to be short of sth (supplies, money etc)" 匮乏
"satisfactory; consummate; perfect" 圆满
"round; circular" 圆形
"perimeter; range; (within) a radius of ..." 方圆
"mad; wild; violent" 狂
"crazy; frenzied; wild" 疯狂
"zealotry; fanatical; feverish" 狂热
"party; carousal; hilarity; merriment; whoopee; to carouse" 狂欢
"to run like crazy; to rush" 狂奔
"to escape; to evade; to avoid; to shirk" 逃避
"to shun; to avoid (sb); to skirt; to evade (an issue); to step back; to withdraw; to recuse (a judge etc)" 回避
"to avoid; to evade; to keep away from" 避开
"brief; sketchy; outline; summary; to omit; (bound form before a single-character verb) a bit; somewhat; slightly; plan; strategy; to capture (territory)" 略
"to invade; invasion" 侵略
"bright; smart; quick-witted; heart; thoughts; spirit" 心灵
"soul; spirit" 灵魂
"flexible; nimble; agile" 灵活
"spirit; fairy; elf; sprite; genie" 精灵
"one after another; in succession; one by one; continuously; diverse; in profusion; numerous and confused; pell-mell" 纷纷
dispute 纠纷
"vast and various; rich and diverse" 缤纷
"to dispute" 纷争
"victory; success; to beat; to defeat; to surpass; victorious; superior to; to get the better of; better than; surpassing; superb (of vista); beautiful (scenery); wonderful (view); equal to (a task)" 胜
victory 胜利
"to prevail over; to defeat; to surmount" 战胜
"cannot bear or stand; be unequal to; very; extremely" 不胜
